family,l_eff,p_star
stella_bond,14.6969,0.100878
stella_bond,20.7846,0.099884
stella_bond,29.3939,0.100801
stella_bond,41.5692,0.100915
fcc_bond,14.6969,0.120185
fcc_bond,20.7846,0.119736
fcc_bond,29.3939,0.120310
fcc_bond,41.5692,0.119620
