t,p_t,s_t
0,1.000000000000e0,1.000000000000
1,0.000000000000e0,1.000000000000
2,7.142857142857e-2,1.071428571429
3,2.623906705539e-2,1.097667638484
4,2.254269054561e-2,1.120210329030
5,1.554411852204e-2,1.135754447552
6,1.242254502801e-2,1.148176992580
7,9.935539188603e-3,1.158112531768
8,8.258872736891e-3,1.166371404505
