t,line,k1,k2,k3
16,283.216757,283.216757,80211.731584,22717306.512328
32,199.864214,199.864214,39945.703850,7983716.683807
64,141.185748,141.185748,19933.415376,2814314.155706
128,99.784377,99.784377,9956.921804,993545.234573
256,70.540935,70.540935,4976.023454,351013.345019
512,49.873876,49.873876,2487.403485,124056.452394
